geo_cep;geo_uf;geo_cidade;geo_bairro
60170251;CE;FORTALEZA;DIONISIO TORRES
60060430;CE;FORTALEZA;PRAIA DE IRACEMA
93270000;RS;ESTEIO;NOVO ESTEIO
59170000;RN;RECIFE;ZONA RURAL
63600000;CE;SENADOR POMPEU;CENTRO
60180480;CE;FORTALEZA;ARMAZEM
62650;CE;URUBURETAMA;CENTRO
60761190;CE;FORTALEZA;MONDUBIM
62790000;CE;REDENCAO;CENTRO
61634180;CE;CAUCAIA;TABAPUA
04855260;SP;SÃO PAULO;JARDIM BELCITO
60832260;CE;FORTALEZA ;LAGOA REDONDA 
06529001;SP;SAO PAULO;SANTANA DE PARN
59078970;RN;NATAL;LAGOA NOVA
35506000;MG;SÃO SEBASTIÃO DO OES;ZONA RURAL
60015061;CE;FORTALEZA;FARIAS BRITO
60811000;CE;FORTALEZA;LUCIANO CAVALCANTE
60820160;CE;FORTALEZA;JARDIM DAS OLIVEIRAS
60130241;CE;FORTALEZA;DIONISIO TORRES
61753000;CE;AQUIRAZ;CAMARA
59170000;RN;ARES;ARES
08599660;SP;ITAQUAQUECETUBA;DO UNA
60450360;CE;FORTALEZA;PARQUELANDIA
60165220;CE;FORTALEZA;VARJOTA
60025061;CE;FORTALEZA;CENTRO
60030040;CE;FORTALEZA;CENTRO
60110140;CE;FORTALEZA;CENTRO
60810000;CE;FORTALEZA;GUARARAPES
60040270;CE;FORTALEZA;JOSÉ BONIFÁCIO
60831340;CE;FORTALEZA;LAGOA REDONDA
63900000;CE;QUIXADÁ;SAO JOAO
62840000;CE;BEBERIBE;SEDE
60115080;CE;FORTALEZA;ALDEOTA
60873285;CE;FORTALEZA;PAUPINA
60850012;CE;FORTALEZA;BARROSO
60761505;CE;FORTALEZA;MONDUBIM
62840000;CE;BEBERIBE;PARIPUEIRA
61923160;CE;MARACANAÚ;SIQUEIRA
60135180;CE;FORTALEZA;ALDEOTA
60120020;CE;FORTALEZA;MEIRELES
60165090;CE;FORTALEZA;MEIRELES
60135900;CE;FORTALEZA;DIONISIO TORRES
60822575;CE;FORTALEZA;C. DOS FUNCIONARIOS
60000000;CE;FORTALEZA;MONTESE
60010000;CE;FORTALEZA;MOURA BRASIL
60862210;CE;FORTALEZA;PASSARE
6000000;CE;FORTALEZA;AGUA FRIA
60410691;CE;FORTALEZA;VILA UNIAO
87507000;PR;UMUARAMA;PQ INDUSTRIAL
07400000;SP;SAO PAULO ;JARDIM PLANALTO
60831370;CE;FORTALEZA;LAGOA REDONDA
60822131;CE;FORTALEZA;CIDADE DOS FUNCION
60720600;CE;FORTALEZA ;PARANGABA
60000000;CE;ITAPIPOCA;JULHO
61910000;CE;MARACANAU;DIST. INDUSTRIAL
09520040;SP;SÃO CAETANO DO SUL;CENTRO
47850000;BA;LUIS EDUARDO MAGALHA;CENTRO
68557080;PA;XINGUARA;ZONA RURAL
62670000;CE;SAO GONCALO DO AMARANTE;DISTRITO DO PECEM
62000000;CE;BEBERIBE;CORREGO DO SAL
61930220;CE;MARACANAU;CIDADE NOVA
60115221;CE;FORTALEZA;ALDEOTA
61925660;CE;MARACANÚ;CIDADE NOVA
60864323;CE;FORTALEZA;CAJAZEIRAS
60721340;CE;FORTALEZA;PARANGABA
60356000;CE;FORTALEZA;ANTONIO BEZERRA
61600004;CE;CAUCAIA;CENTRO
60960000;CE;TABULEIRO DO NORTE;CENTRO
60000000;CE;EUSEBIO;JABOTI
60325002;CE;FORTALEZA;ALAGADICO
60030141;CE;FORTALEZA;CENTRO
60180560;CE;FORTALEZA;MUCURIPE
62010000;CE;SOBRAL;PROJ. TERRA NOVA
60050011;CE;FORTALEZA;JOSE BONIFACIO
60130971;CE;FORTALEZA;TAUAPE
60170002;CE;FORTALEZA;DIONISIO TORRES
61939000;CE;MARACANAU;DISTRITO INDUSTRIAL
54500000;PE;CABO DE SANTO AUGUST;COMPLEXO INDUSTRIAL 
63000000;CE;APUIARÉS;CENTRO
60860901;CE;FORTALEZA;CASTELAO
20930002;RJ;RIO DE JANEIRO;BENFICA
60823050;CE;FORTALEZA;CIDADE DOS FUNCIONÁR
60170002;CE;FORTALEZA;ALDEOTA
60714685;CE;FORTALEZA;DENDE
60730150;CE;FORTALEZA;PARQUE SÃO JOSÉ
60320295;CE;FORTALEZA;VILA ELLERY
60841370;CE;FORTALEZA;MESSEJANA
60181770;CE;FORTALEZA;PRAIA DO FUTURO
60823105;CE;FORTALEZA;CIDADE DOS FUNC.
60410690;CE;FORTALEZA;FATIMA
60337200;CE;FORTALEZA;CARLITO PAMPLONA
61930120;CE;MARACANAU;CIDADE NOVA 
62880000;CE;HORIZONTE;DOURADO
59280000;RN;MACAIBA;C. IND. AVANÇADO
60714270;CE;FORTALEZA;ITAPERI
62800000;CE;ARACATI;ZONA RURAL
60140170;CE;FORTALEZA;ALDEOTA
01026001;SP;SAO PAULO;MERCADO
96835642;RS;SANTA CRUZ DO SUL;DISTRITO INDUSTRIAL
02987030;SP;SÃO PAULO;PARADA
6275000;CE;ARACOIABA;CENTRO
61700000;CE;AQUIRAZ;PORTO DAS DUNAS
60900000;SP;SÃO PAULO;JABAGUARA
60020030;CE;FROTALEZA;CENTRO
60810160;CE;FORTALEZA;AGUA FRIA
6000000;CE;FORTALEZA;MESSEJANA
60871200;CE;FORTALEZA ;CAJAZEIRAS
60055080;CE;FORTALEZA;CENTRO
62640000;CE;PENTECOSTE;CENTRO
62850000;CE;CASCAVEL;CENTRO
60545360;CE;FORTALEZA;BOM SUCESSO
60160190;CE;FORTALEZA;ALDEOTA
60175135;CE;FORTALEZA;PAPICU
60312060;CE;FORTALEZA;JACARECANGA
20040070;RJ;RIO DE JANEIRO;CENTRO
60125001;CE;FORTALEZA;SAO JOAO DO TAUAPE
60125150;CE;FORTALEZA;MEIRELES
60410690;CE;FORTALEZA;VILA UNIAO
60866490;CE;FORTALEZA;CJ SAO CRISTOVAO
60720080;CE;FORTALEZA;PARANGABA
61900000;CE;MARACANAU;DIST. INDUSTRIAL
60440820;CE;FORTALEZA ;BELA VISTA
60055090;CE;FORTALEZA;CENTRO
63500000;CE;IGUATU;PLANALTO
60000000;CE;HORIZONTE;CENTRO
60510200;CE;FORTALEZA ;HENRIQUE JORGE
60750022;CE;FORTALEZA;PREFEITO JOSÉ WALTER
32601590;MG;BETIM;PINGO D'ÀGUA
81460100;PR;CURITIBA;CENTRO
61930350;CE;MARACANAU;MARACANAU
15035630;SP;SAO JOSE DO RIO PRET;DISTRITO INDUSTRIAL
60861760;CE;FORTALEZA;PASSARÉ
61760000;CE;EUSEBIO;S/N
60821580;CE;FORTALEZA;COCO
60000000;CE;IRAUÇUBA;CENTRO
58015170;PB;JOAO PESSOA;JAGUARIBE
60140060;CE;FORTALEZA;CENTRO
60455411;CE;FORTALEZA;PARQUELANDIA
13218641;SP;JUNDIAI;CAXAMBU
60822820;CE;FORTALEZA;CIDADE DOS FUNCIONAR
62940000;CE;MORADA NOVA ;CENTRO
60000000;CE;FORTALEZA;PARQUE ARAXÁ
60811520;CE;FORTALEZA;EDSON QUEIROZ
60415510;CE;FORTALEZA;AEROLANDIA
60425680;CE;FORTALEZA ;BENFICA 
60839900;CE;FORTALEZA;CAMBEBA
71000000;CE;SÃO PAULO ;BELA VISTA
61906010;CE;MARACANAU;JENIPAPEIRO
60150160;CE;FORTALEZA;CENTRO
6000000;CE;SANTANA DO ACARAU;CENTRO
59092400;RN;NATAL;PONTA NEGRA
61000000;CE;FORTALEZA;BOM JARDIM
58322000;PB;MUNICIPIO DO CONDE;ZONA RURAL
60182050;CE;FORTALEZA;VICENTE PINZON
60541420;CE;FORTALEZA;BONSUCESSO
0;NI;NAO INF;NAO INFORMADO
06818200;SP;EMBU;VISTA ALEGRE
60850015;CE;FORTALEZA;CID. FUNCIONARIOS
60055403;CE;FORTALEZA;FATIMA
08597610;SP;ITAQUAQUECETUBA;QUINTA DA BOA VISTA
62870000;CE;PACAJJUS;BANGUE
62730000;CE;CARIDADE;CENTRO
60000000;CE;MULUNGU;CENTRO
58310000;PB;CABEDELO;CENTRO
60020350;CE;FORTALEZA;BENFICA
59012570;RN;NATAL;PETROPOLIS
60426110;CE;FORTALEZA;DAMAS
62550000;CE;MORRINHOS;CENTRO
02055001;SP;SAO PAULO;VILA GUILHERME
60020292;CE;FORTALEZA;RODOLFO TEOFILO
61600000;CE;CAUCAIA;CONJ. TABAPUÁ 
59012300;RN;NATAL;PETROPOLIS
62270000;CE;HIDROLÂNDIA;CENTRO
25230010;RJ;DUQUE DE CAXIAS;JARDIM PRIMAVERA
60873250;CE;FORTALEZA;PAUPINA
60415730;CE;FORTALEZA;JARDIM AMERICA
61901410;CE;MARACANAU;DISTRITO INDUSTRIAL
62260000;CE;RERIUTABA;CENTRO
60120170;CE;FORTALEZA;JOAQUIM TAVORA
60356001;CE;FORTALEZA;ANTONIO BEZERRA
61900360;CE;MARACANAU;NOVO MARACANAU
69048600;AM;MANAUS;COLONIA TERRA NOVA
62685000;CE;PARAIPABA;BOA ESPERANCA
05884080;SP;SAO PAULO;JD SAO LUIZ
60860550;CE;FORTALEZA;DIAS MACEDO
62795000;CE;BARREIRA ;CENTRO
61600040;CE;CAUCAIA;CENTRO
88330000;SC;BALNEARIO CAMBORIU;SAO JUDAS TADEU
60055171;CE;FORTALEZA;JOAQUIM TAVORA
60824200;CE;FORTALEZA;PARQUE IRACEMA
62960000;CE;TABULEIRO DO NORTE;CENTRO
60822575;CE;FORTALEZA;CIDADE DOS FUNCIONÁR
60850012;CE;FORTALEZA;ALTO DA BALANÇA
60000000;CE;CAUCAIA ;ZONA RURAL
60336690;CE;FORTALEZA;BARRA DO CEARA
03870100;SP;SAO PAULO;JD COTINHA
60000000;CE;SAO GONSALO DO AMARA;ZONA RURAL
74685020;GO;GOIANIA;CHACARA RETIRO
60165000;CE;FORTALEZA;BEIRA MAR
60040531;CE;FORTALEZA;BENFICA
60170040;CE;FORTALEZA;ALDEOTA
60000000;CE;CAUCAIA;PARQUE POTIRA
01217000;SP;SAO PAULO ;CAMPOS ELISEOS
60125000;CE;FORTALEZA;DIONISIO TORRES
60821050;CE;FORTALEZA;JARDIM DAS OLIVEIRAS
60010690;CE;FORTALEZA;JACARECANGA
60864810;CE;FORTALEZA;CAJAZEIRAS
86105000;PR;LONDRINA;WARTA 
60310000;CE;FORTALEZA;CARLITO PAMPLONA
60140140;CE;FORTALEZA;ALDEOTA
62655000;CE;TURURU;CENTRO
60864012;CE;FORTALEZA;CAJAZEIRAS
60873164;CE;FORTALEZA;PARQUE SANTA ROSA
60850010;CE;FORTALEZA;AEROLANDIA
06408000;SP;BARUERI;ENGENHO NOVO
60165120;CE;FORTALEZA;MEIRELES
60326220;CE;FORTALEZA;MONTE CASTELO
61616000;CE;CAUCAIA;GENIPABU
60335000;CE;FORTALEZA;CARLITO PAMPLONA
61760000;CE;EUSEBIO ;TAMATANDUBA
61880000;CE;ITAITINGA;GEREAU
61936210;CE;MARACANAU;TIMBO
83325020;PA;PINHAIS ;EMILIANO PERNETA 
60851440;CE;FORTALEZA;AEROLANDIA
62755000;CE;OCARA;CENTRO
60871200;CE;FORTALEZA;PQ SANTA MARIA 
09850550;SP;S BERNARDO CAMPO;ALVARENGAS
60441350;CE;FORTALEZA;MUCURIPE
60823005;CE;FORTALEZA;CIDADE DOS FUNCIONAR
60320380;CE;FORTALEZA;VILLA ELLERY
93025730;RS;SÃO LEOPOLDO;SÃO MIGUEL
60140061;CE;FORTALEZA;CENTRO
60410411;CE;FORTALEZA;VILA UNIAO
76380000;GO;GOIANESIA;ZONA RURAL
60120000;CE;FORTALEZA;MEIRELES
60839120;CE;FORTALEZA;CAMBEBA
60010270;CE;FORTALEZA;CENTRO
60730062;CE;FORTALEZA;VILA PERY
60025001;CE;FORTALEZA;CENTRO
60055450;CE;FORTALEZA;CENTRO
60115280;CE;FORTALEZA;ALDEOTA
60710001;CE;FORTALEZA.;PARANGABA
60873530;CE;FORTALEZA;PAUPINA
61940090;CE;MARANGUAPE;CENTRO
60025101;CE;FORTALEZA;CENTRO
62738000;CE;GENERAL SAMPAIO;CENTRO
60310003;CE;FORTALEZA.;BARRA DO CEARÁ
60430370;CE;FORTALEZA;RODOLFO TEOFILO
02757000;SP;SAO PAULO;FREGUESIA DO O
62000000;CE;CHOROZINHO;CENTRO
61600000;CE;CAUCAIA;PARQUE ALBANO
60050081;CE;FORTALEZA;FATIMA
60041530;CE;FORTALEZA;BENFICA
60150462;CE;FORTALEZA;ALDEOTA
61760000;CE;EUSEBIO;CENTRO
60020060;CE;FORTALEZA;BENFICA
62760000;CE;BATURITE;CENTRO
60035101;CE;FORTALEZA;CENTRO
60822575;CE;SOBRAL;JUNCO
61645000;CE;CAUCAIA;PARQUE ALBANO
62040370;CE;SOBRAL;BETANIA
60000000;CE;FORTALEZA;PASSARE
60135102;CE;FORTALEZA;DIONISIO TORRES
61650110;CE;CAUCAIA ;PARQUE GUADALAJARA
60025100;CE;FORTALEZA;CENTRO
60824140;CE;FORTALEZA;PQUE. IRACEMA
60010590;CE;FORTALEZA;JACARECANGA
62690000;CE;TRAIRI;SEDE
05419000;SP;SAO PAULO;PINHEIROS
93270010;CE;FORTALEZA;NOVO ESTEIO
60165070;CE;FORTALEZA;MEIRELES
60863350;CE;FORTALEZA;MESSEJANA
60410426;CE;FORTALEZA;JARDIM AMERICA
62965000;CE;SÃO JOÃO DO JAGUARIB;CENTRO
60000000;CE;PARACURU;CENTRO
60821580;CE;FORTALEZA;CIDADE DOS FUNC.
60000000;CE;UMIRIM;CENTRO
60000000;CE;FORTALEZA;DIONISIO TORRES
61760000;CE;EUSEBIO;TIMBU
60450290;CE;FORTALEZA;PARQUELANDIA
62880000;CE;HORIZONTE;CENTRO
61760000;CE;EUSEBIO;TAMATANDUBA
60420670;CE;FORTALEZA ;MONTESE
60180000;CE;FORTALEZA;PRAIA DO FUTURO
60010010;CE;FORTALEZA;MOURA BRASIL
02074002;SP;SAO PAULO;VILA MARIA ALTA
60930000;CE;MARACANAÚ ;PAJUCARA
60850001;CE;FORTALEZA;AEROLANDIA
60867020;CE;FORTALEZA;CJ JARDIM UNIAO
60025060;CE;FORTALEZA;CENTRO
60000000;CE;FORTALEZA;CAMBEBA
32150240;MG;CONTAGEM;CAMPINA VERDE
88870000;SC;ORLEANS;RIO BELO
60860220;CE;FORTALEZA;DIAS MACEDO
60165270;CE;FORTALEZA;VARJOTA
